,Station,Easting,Northing,Elevation,DTM,RockSurface,StationReal,RockCover,WBScode,WorkType,ExcavationType,ProfileType,SectionArea,Description,Unit,BoreClass,SupportClass,DisposalClass,StationInterval,ExcavationVolume,DisposalVolume
128,205+239,2612353.385,1269161.64,260.962,260.734,236.2,205239.0,-24.762,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00528284857,NaN,NaN
129,205+242,2612354.796,1269158.992,260.792,259.222,236.2,205242.0,-24.592,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00493128051,NaN,NaN
130,205+245,2612356.21,1269156.346,260.622,262.279,236.2,205245.0,-24.422,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00405076517,NaN,NaN
131,205+248,2612357.624,1269153.701,260.452,260.702,236.2,205248.0,-24.252,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00535156012,NaN,NaN
132,205+251,2612359.041,1269151.056,260.284,260.702,236.2,205251.0,-24.084,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00494326058,NaN,NaN
133,205+254,2612360.459,1269148.412,260.116,261.462,236.2,205254.0,-23.916,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00412849277,NaN,NaN
134,205+257,2612361.879,1269145.77,259.948,261.462,236.2,205257.0,-23.748,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00454555614,NaN,NaN
135,205+260,2612363.3,1269143.128,259.781,260.729,236.4,205260.0,-23.381,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00496322784,NaN,NaN
136,205+263,2612364.722,1269140.486,259.615,260.729,236.4,205263.0,-23.215,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0045715169,NaN,NaN
137,205+266,2612366.147,1269137.846,259.45,261.974,236.4,205266.0,-23.05,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00422252834,NaN,NaN
138,205+269,2612367.573,1269135.207,259.284,261.974,236.4,205269.0,-22.884,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00458749252,NaN,NaN
139,205+272,2612369.0,1269132.568,259.12,261.465,236.4,205272.0,-22.72,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00513560437,NaN,NaN
140,205+275,2612370.43,1269129.93,258.956,262.537,236.4,205275.0,-22.556,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00332565647,NaN,NaN
141,205+278,2612371.86,1269127.294,258.793,262.537,236.4,205278.0,-22.393,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00427844911,NaN,NaN
142,205+281,2612373.292,1269124.658,258.63,261.284,236.4,205281.0,-22.23,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00517819761,NaN,NaN
143,205+284,2612374.726,1269122.022,258.468,261.284,236.4,205284.0,-22.068,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.00432571487,NaN,NaN
